STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR0-01	-0.24	-0.22	0.363	0.204
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR2-01	0.007	0.038	0.009	-0.011
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR3-01	0.053	0.071	0.081	0.073
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR4-01	-0.029	-0.059	-0.01	0.121
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	3.66	-0.731	0.425	-0.7
luad_tcga_pan_can_atlas_2018	TCGA-49-AARE-01	-0.339	-0.358	-0.363	0.16
luad_tcga_pan_can_atlas_2018	TCGA-49-AARN-01	-0.357	-0.401	0.289	0.025
luad_tcga_pan_can_atlas_2018	TCGA-49-AARO-01	0.53	-0.226	0.182	0.928
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	0.221	-0.394	1.01	1.28
luad_tcga_pan_can_atlas_2018	TCGA-49-AARR-01	0.003	-0.006	0.003	-0.008
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	-0.01	-0.016	0.661	1.05
luad_tcga_pan_can_atlas_2018	TCGA-50-5044-01	0	-0.065	-0.002	0.002
luad_tcga_pan_can_atlas_2018	TCGA-50-5045-01	0.171	0.077	0.424	0.523
luad_tcga_pan_can_atlas_2018	TCGA-50-5049-01	-0.147	-0.271	0.62	0.238
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	-0.309	-0.144	-0.416	0.084
luad_tcga_pan_can_atlas_2018	TCGA-50-5055-01	0.045	0.027	0.03	0.329
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	-0.1	0.007	0.134	0.219
luad_tcga_pan_can_atlas_2018	TCGA-50-5068-01	-0.225	-0.242	0.162	0
luad_tcga_pan_can_atlas_2018	TCGA-50-5072-01	0.505	0.083	-0.252	0.259
luad_tcga_pan_can_atlas_2018	TCGA-50-5930-01	-0.005	0.225	0.011	0.231
luad_tcga_pan_can_atlas_2018	TCGA-50-5931-01	0.292	-0.754	0.401	-0.283
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	0.012	0.053	0.005	0.012
luad_tcga_pan_can_atlas_2018	TCGA-50-5933-01	-0.027	-0.052	0.108	0.921
luad_tcga_pan_can_atlas_2018	TCGA-50-5935-01	0.835	0.349	0.299	0.077
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	0.088	-0.503	-0.517	0.409
luad_tcga_pan_can_atlas_2018	TCGA-50-5939-01	0.018	0.011	0.012	3.06
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	1.69	-0.287	0.378	0.166
luad_tcga_pan_can_atlas_2018	TCGA-50-5942-01	-0.778	-0.021	-0.037	0.008
luad_tcga_pan_can_atlas_2018	TCGA-50-5944-01	0.214	-0.57	1.31	0.39
luad_tcga_pan_can_atlas_2018	TCGA-50-5946-01	-0.105	-0.084	0.602	1.55
luad_tcga_pan_can_atlas_2018	TCGA-50-6590-01	0.032	0.04	0.289	0.341
luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	-0.152	-0.522	3.56	3.66
luad_tcga_pan_can_atlas_2018	TCGA-50-6592-01	0.256	0.121	0.347	0.038
luad_tcga_pan_can_atlas_2018	TCGA-50-6593-01	-0.215	-0.195	-0.207	0.455
luad_tcga_pan_can_atlas_2018	TCGA-50-6594-01	-0.731	-0.709	0.054	0.398
luad_tcga_pan_can_atlas_2018	TCGA-50-6595-01	0.06	-0.07	0.131	0.672
luad_tcga_pan_can_atlas_2018	TCGA-50-6597-01	0.14	-0.176	-0.062	-0.114
luad_tcga_pan_can_atlas_2018	TCGA-50-6673-01	0.148	0.11	0.12	2.48
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	0.005	-0.325	0.653	0.005
luad_tcga_pan_can_atlas_2018	TCGA-50-8457-01	-0.118	0.074	0.012	-0.036
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	0.469	-0.002	0.001	0.001
luad_tcga_pan_can_atlas_2018	TCGA-50-8460-01	0.004	-0.012	0.006	-0.001
luad_tcga_pan_can_atlas_2018	TCGA-53-7624-01	-0.003	-0.501	-0.485	0.586
luad_tcga_pan_can_atlas_2018	TCGA-53-7626-01	0	-0.451	0.035	0.046
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	0.025	-0.349	0.152	-0.113
luad_tcga_pan_can_atlas_2018	TCGA-53-A4EZ-01	-0.054	0.014	0.354	0.015
luad_tcga_pan_can_atlas_2018	TCGA-55-1592-01	3.23	-0.446	0.373	-0.04
luad_tcga_pan_can_atlas_2018	TCGA-55-1594-01	0.772	-0.523	1.18	3.53
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	0.658	-0.608	1.2	0.052
luad_tcga_pan_can_atlas_2018	TCGA-55-1596-01	0.201	-0.671	0.194	0.181
luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	-0.422	-0.422	0.514	1.31
luad_tcga_pan_can_atlas_2018	TCGA-55-6543-01	-0.003	0.008	0.539	0.545
luad_tcga_pan_can_atlas_2018	TCGA-55-6642-01	0.1	0.108	0.165	0.041
luad_tcga_pan_can_atlas_2018	TCGA-55-6712-01	0.445	-0.284	0.124	0.355
luad_tcga_pan_can_atlas_2018	TCGA-55-6968-01	0.032	-0.649	0.025	-0.451
luad_tcga_pan_can_atlas_2018	TCGA-55-6969-01	0.025	0.014	0.423	0.06
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	-0.011	0.057	0.362	-0.015
luad_tcga_pan_can_atlas_2018	TCGA-55-6971-01	0.12	-0.106	-0.036	0.142
luad_tcga_pan_can_atlas_2018	TCGA-55-6972-01	-0.053	-0.661	1.1	0.404
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	0.073	-0.278	0.058	0.134
luad_tcga_pan_can_atlas_2018	TCGA-55-6978-01	0.116	-0.131	0.121	0.241
luad_tcga_pan_can_atlas_2018	TCGA-55-6979-01	-0.192	-0.178	0.132	0.81
luad_tcga_pan_can_atlas_2018	TCGA-55-6980-01	0.127	-0.288	0.052	0.321
luad_tcga_pan_can_atlas_2018	TCGA-55-6981-01	0.338	-0.274	0.051	3.66
luad_tcga_pan_can_atlas_2018	TCGA-55-6982-01	0.035	-0.37	0.032	0.288
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	0	0.007	-0.004	-0.002
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	0.446	-0.402	0.016	0.038
luad_tcga_pan_can_atlas_2018	TCGA-55-6985-01	0.316	-0.325	0.062	0.336
luad_tcga_pan_can_atlas_2018	TCGA-55-6986-01	-0.051	0.01	0.011	-0.02
luad_tcga_pan_can_atlas_2018	TCGA-55-6987-01	0.154	0.018	-0.005	0.255
luad_tcga_pan_can_atlas_2018	TCGA-55-7227-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	0.012	-0.345	-0.001	0.089
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	0.64	0.028	0.035	0.342
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	0.371	-0.021	0.342	0.384
luad_tcga_pan_can_atlas_2018	TCGA-55-7570-01	0.019	0.026	-0.013	0.031
luad_tcga_pan_can_atlas_2018	TCGA-55-7573-01	-0.27	-0.321	-0.008	0.01
luad_tcga_pan_can_atlas_2018	TCGA-55-7574-01	0.038	-0.101	-0.037	-0.001
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	0.875	-0.467	0.096	0.3
luad_tcga_pan_can_atlas_2018	TCGA-55-7724-01	0.025	-0.077	0.105	0.163
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	0	-0.013	-0.014	0
luad_tcga_pan_can_atlas_2018	TCGA-55-7726-01	0.34	-0.352	0.535	0.544
luad_tcga_pan_can_atlas_2018	TCGA-55-7727-01	-0.323	-0.535	0.006	0.175
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	0.798	-0.011	0.002	-0.001
