STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-55-6972-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6978-01	-1.2061	-0.5374	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6979-01	-0.0178	0.8014	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6980-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6981-01	-0.4334	4.7764	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6982-01	-1.1109	0.0333	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6985-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6986-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6987-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7227-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7570-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7573-01	-0.9733	-0.5881	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7574-01	-0.2728	-1.155	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7724-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7726-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7727-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	-0.7256	-0.167	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	-1.3577	-1.1938	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7816-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7903-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	0.3003	-0.4573	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	-1.0252	-0.8213	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7913-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7994-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7995-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8085-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8087-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8089-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8091-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8092-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8094-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8096-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8097-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8203-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8204-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8205-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8206-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8207-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8208-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8299-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8301-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8302-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8505-01	0.8896	-0.4627	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8506-01	0.2183	-0.1853	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8507-01	0.3962	-1.5364	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8508-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8510-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8511-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8512-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8513-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8514-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8614-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8615-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8616-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8619-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8620-01	1.281	-1.7712	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-8621-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A48X-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Y-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Z-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A490-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A491-01	NA	NA	NA	NA
