STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-49-4514-01	2.2902	-1.0755	0.4492	1.4776
luad_tcga_pan_can_atlas_2018	TCGA-49-6742-01	1.3728	-0.7202	0.3797	1.5925
luad_tcga_pan_can_atlas_2018	TCGA-49-6743-01	0.0247	0.1471	-0.4974	0.7302
luad_tcga_pan_can_atlas_2018	TCGA-49-6744-01	0.0475	0.0887	-0.0495	-0.68
luad_tcga_pan_can_atlas_2018	TCGA-49-6745-01	0.6045	0.6501	3.0261	0.4754
luad_tcga_pan_can_atlas_2018	TCGA-49-6761-01	1.2933	1.9506	-0.1658	0.5786
luad_tcga_pan_can_atlas_2018	TCGA-49-6767-01	-1.4139	0.2091	-0.0043	1.4281
luad_tcga_pan_can_atlas_2018	TCGA-49-AAQV-01	1.0637	0.3092	-1.4018	0.1243
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR0-01	-0.4166	-1.2357	-2.0813	0.3158
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR2-01	0.7023	-3.2933	-1.799	0.3211
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR3-01	-0.5259	-0.6014	-1.1642	1.0882
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR4-01	-0.3867	-0.8502	-0.7161	0.153
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	-0.998	-1.367	5.2774	1.1977
luad_tcga_pan_can_atlas_2018	TCGA-49-AARE-01	1.0349	-2.8053	-1.4861	-0.0797
luad_tcga_pan_can_atlas_2018	TCGA-49-AARN-01	0.4265	-0.3109	-1.5072	-0.1633
luad_tcga_pan_can_atlas_2018	TCGA-49-AARO-01	0.4857	0.3211	-0.8018	-0.1706
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	-0.3145	-0.2773	-1.4457	1.1134
luad_tcga_pan_can_atlas_2018	TCGA-49-AARR-01	-0.5292	-0.1301	-1.0255	-2.1477
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	1.7893	-1.0534	-0.7336	1.1702
luad_tcga_pan_can_atlas_2018	TCGA-50-5044-01	-0.3892	-1.5707	-1.2847	0.8053
luad_tcga_pan_can_atlas_2018	TCGA-50-5045-01	-0.5134	-1.041	-0.2802	0.0653
luad_tcga_pan_can_atlas_2018	TCGA-50-5049-01	-0.5692	-0.9599	-0.8397	0.6469
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	0.8042	-1.9487	-0.4076	0.3551
luad_tcga_pan_can_atlas_2018	TCGA-50-5055-01	0.6456	-1.5805	-0.6755	-0.7208
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	-0.0699	-2.0108	-0.0219	1.0335
luad_tcga_pan_can_atlas_2018	TCGA-50-5068-01	-0.5752	-1.928	-0.8236	-0.4349
luad_tcga_pan_can_atlas_2018	TCGA-50-5072-01	-0.1806	-0.0244	1.1735	1.6219
luad_tcga_pan_can_atlas_2018	TCGA-50-5930-01	0.4678	-0.7126	-0.3337	-0.3453
luad_tcga_pan_can_atlas_2018	TCGA-50-5931-01	-0.8038	-0.3546	0.1301	0.6594
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	0.6386	0.7609	1.0545	-0.3929
luad_tcga_pan_can_atlas_2018	TCGA-50-5933-01	0.131	1.7312	0.3238	0.6608
luad_tcga_pan_can_atlas_2018	TCGA-50-5935-01	1.4383	0.433	1.3754	-0.242
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	0.2713	0.3269	0.4632	-0.3852
luad_tcga_pan_can_atlas_2018	TCGA-50-5939-01	0.0966	2.9818	-0.9819	0.3866
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	-0.935	0.4821	1.6532	0.6337
luad_tcga_pan_can_atlas_2018	TCGA-50-5942-01	0.6377	1.3695	-1.5775	-2.0617
luad_tcga_pan_can_atlas_2018	TCGA-50-5944-01	-1.6894	1.3104	-0.2126	0.1507
luad_tcga_pan_can_atlas_2018	TCGA-50-5946-01	-2.4406	1.1465	-1.1203	1.1785
luad_tcga_pan_can_atlas_2018	TCGA-50-6590-01	-1.6737	1.3073	-0.2406	1.5217
luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	-1.9955	3.1074	-0.3534	2.3429
luad_tcga_pan_can_atlas_2018	TCGA-50-6592-01	0.2885	-0.3317	0.993	1.2862
luad_tcga_pan_can_atlas_2018	TCGA-50-6593-01	-1.3825	0.4196	-0.7038	-0.0304
luad_tcga_pan_can_atlas_2018	TCGA-50-6594-01	-0.3662	-0.3111	-0.7623	0.7868
luad_tcga_pan_can_atlas_2018	TCGA-50-6595-01	0.7453	1.7539	-0.7851	1.3219
luad_tcga_pan_can_atlas_2018	TCGA-50-6597-01	1.5312	0.0364	-1.5829	-0.7883
luad_tcga_pan_can_atlas_2018	TCGA-50-6673-01	0.4963	2.116	0.6704	0.066
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	0.8302	-0.9767	0.3999	1.1685
luad_tcga_pan_can_atlas_2018	TCGA-50-8457-01	0.4101	0.8085	-0.436	-2.0467
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	-0.0432	-0.4206	-0.1018	-1.0229
luad_tcga_pan_can_atlas_2018	TCGA-50-8460-01	0.7473	0.0097	-1.4669	-0.5663
luad_tcga_pan_can_atlas_2018	TCGA-53-7624-01	-2.8775	2.9267	0.1812	1.3143
