STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_tcga_pan_can_atlas_2018	TCGA-49-4514-01	0.4492	-1.0755	1.4776	2.2902
luad_tcga_pan_can_atlas_2018	TCGA-49-6742-01	0.3797	-0.7202	1.5925	1.3728
luad_tcga_pan_can_atlas_2018	TCGA-49-6743-01	-0.4974	0.1471	0.7302	0.0247
luad_tcga_pan_can_atlas_2018	TCGA-49-6744-01	-0.0495	0.0887	-0.68	0.0475
luad_tcga_pan_can_atlas_2018	TCGA-49-6745-01	3.0261	0.6501	0.4754	0.6045
luad_tcga_pan_can_atlas_2018	TCGA-49-6761-01	-0.1658	1.9506	0.5786	1.2933
luad_tcga_pan_can_atlas_2018	TCGA-49-6767-01	-0.0043	0.2091	1.4281	-1.4139
luad_tcga_pan_can_atlas_2018	TCGA-49-AAQV-01	-1.4018	0.3092	0.1243	1.0637
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR0-01	-2.0813	-1.2357	0.3158	-0.4166
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR2-01	-1.799	-3.2933	0.3211	0.7023
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR3-01	-1.1642	-0.6014	1.0882	-0.5259
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR4-01	-0.7161	-0.8502	0.153	-0.3867
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	5.2774	-1.367	1.1977	-0.998
luad_tcga_pan_can_atlas_2018	TCGA-49-AARE-01	-1.4861	-2.8053	-0.0797	1.0349
luad_tcga_pan_can_atlas_2018	TCGA-49-AARN-01	-1.5072	-0.3109	-0.1633	0.4265
luad_tcga_pan_can_atlas_2018	TCGA-49-AARO-01	-0.8018	0.3211	-0.1706	0.4857
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	-1.4457	-0.2773	1.1134	-0.3145
luad_tcga_pan_can_atlas_2018	TCGA-49-AARR-01	-1.0255	-0.1301	-2.1477	-0.5292
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	-0.7336	-1.0534	1.1702	1.7893
luad_tcga_pan_can_atlas_2018	TCGA-50-5044-01	-1.2847	-1.5707	0.8053	-0.3892
luad_tcga_pan_can_atlas_2018	TCGA-50-5045-01	-0.2802	-1.041	0.0653	-0.5134
luad_tcga_pan_can_atlas_2018	TCGA-50-5049-01	-0.8397	-0.9599	0.6469	-0.5692
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	-0.4076	-1.9487	0.3551	0.8042
luad_tcga_pan_can_atlas_2018	TCGA-50-5055-01	-0.6755	-1.5805	-0.7208	0.6456
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	-0.0219	-2.0108	1.0335	-0.0699
luad_tcga_pan_can_atlas_2018	TCGA-50-5068-01	-0.8236	-1.928	-0.4349	-0.5752
luad_tcga_pan_can_atlas_2018	TCGA-50-5072-01	1.1735	-0.0244	1.6219	-0.1806
luad_tcga_pan_can_atlas_2018	TCGA-50-5930-01	-0.3337	-0.7126	-0.3453	0.4678
luad_tcga_pan_can_atlas_2018	TCGA-50-5931-01	0.1301	-0.3546	0.6594	-0.8038
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	1.0545	0.7609	-0.3929	0.6386
luad_tcga_pan_can_atlas_2018	TCGA-50-5933-01	0.3238	1.7312	0.6608	0.131
luad_tcga_pan_can_atlas_2018	TCGA-50-5935-01	1.3754	0.433	-0.242	1.4383
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	0.4632	0.3269	-0.3852	0.2713
luad_tcga_pan_can_atlas_2018	TCGA-50-5939-01	-0.9819	2.9818	0.3866	0.0966
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	1.6532	0.4821	0.6337	-0.935
luad_tcga_pan_can_atlas_2018	TCGA-50-5942-01	-1.5775	1.3695	-2.0617	0.6377
luad_tcga_pan_can_atlas_2018	TCGA-50-5944-01	-0.2126	1.3104	0.1507	-1.6894
luad_tcga_pan_can_atlas_2018	TCGA-50-5946-01	-1.1203	1.1465	1.1785	-2.4406
luad_tcga_pan_can_atlas_2018	TCGA-50-6590-01	-0.2406	1.3073	1.5217	-1.6737
luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	-0.3534	3.1074	2.3429	-1.9955
luad_tcga_pan_can_atlas_2018	TCGA-50-6592-01	0.993	-0.3317	1.2862	0.2885
luad_tcga_pan_can_atlas_2018	TCGA-50-6593-01	-0.7038	0.4196	-0.0304	-1.3825
luad_tcga_pan_can_atlas_2018	TCGA-50-6594-01	-0.7623	-0.3111	0.7868	-0.3662
luad_tcga_pan_can_atlas_2018	TCGA-50-6595-01	-0.7851	1.7539	1.3219	0.7453
luad_tcga_pan_can_atlas_2018	TCGA-50-6597-01	-1.5829	0.0364	-0.7883	1.5312
luad_tcga_pan_can_atlas_2018	TCGA-50-6673-01	0.6704	2.116	0.066	0.4963
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	0.3999	-0.9767	1.1685	0.8302
luad_tcga_pan_can_atlas_2018	TCGA-50-8457-01	-0.436	0.8085	-2.0467	0.4101
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	-0.1018	-0.4206	-1.0229	-0.0432
luad_tcga_pan_can_atlas_2018	TCGA-50-8460-01	-1.4669	0.0097	-0.5663	0.7473
