STUDY_ID	SAMPLE_ID	TP53	EGFR	AURKA	KRAS
luad_oncosg_2020	A100	0	0	0	0
luad_oncosg_2020	A102	0	1	1	0
luad_oncosg_2020	A103	-1	1	0	0
luad_oncosg_2020	A104	-1	0	0	-1
luad_oncosg_2020	A109	-1	1	1	0
luad_oncosg_2020	A117	-1	0	0	-1
luad_oncosg_2020	A122	0	0	-1	0
luad_oncosg_2020	A134	0	1	1	0
luad_oncosg_2020	A136	-1	1	0	1
luad_oncosg_2020	A147	0	0	0	0
luad_oncosg_2020	A146	-1	1	2	1
luad_oncosg_2020	A148	-1	1	1	2
luad_oncosg_2020	A149	1	1	2	0
luad_oncosg_2020	A150	1	1	2	-1
luad_oncosg_2020	A156	-1	1	1	0
luad_oncosg_2020	A165	-1	0	0	-1
luad_oncosg_2020	A157	-1	1	1	-1
luad_oncosg_2020	A162	-1	1	1	1
luad_oncosg_2020	A163	-1	1	0	0
luad_oncosg_2020	A243	-1	1	1	0
luad_oncosg_2020	A182	-1	1	-1	0
luad_oncosg_2020	A255	-1	1	1	-1
luad_oncosg_2020	A169	0	1	0	-1
luad_oncosg_2020	A252	0	0	0	0
luad_oncosg_2020	A239	-1	1	0	0
luad_oncosg_2020	A250	0	1	1	0
luad_oncosg_2020	A240	0	0	0	0
luad_oncosg_2020	A249	-1	1	1	0
luad_oncosg_2020	A322	-1	1	0	1
luad_oncosg_2020	A306	-1	0	1	0
luad_oncosg_2020	A302	-1	1	1	0
luad_oncosg_2020	A323	-1	1	1	-1
luad_oncosg_2020	A307	-1	1	1	1
luad_oncosg_2020	A380	0	1	2	0
luad_oncosg_2020	A315	0	1	0	0
luad_oncosg_2020	A377	1	1	1	0
luad_oncosg_2020	A375	-1	1	1	-1
luad_oncosg_2020	A425	-1	1	0	0
luad_oncosg_2020	A316	-1	1	-1	0
luad_oncosg_2020	A379	-1	1	-1	0
luad_oncosg_2020	A483	0	1	1	0
luad_oncosg_2020	A484	NP	NP	NP	NP
luad_oncosg_2020	A485	0	1	1	1
luad_oncosg_2020	A486	0	1	1	0
luad_oncosg_2020	A488	0	1	0	0
luad_oncosg_2020	A489	NP	NP	NP	NP
luad_oncosg_2020	A490	0	1	1	0
luad_oncosg_2020	A492	-1	2	0	-1
luad_oncosg_2020	A493	-1	2	0	0
luad_oncosg_2020	A494	0	1	-1	-1
luad_oncosg_2020	A495	-1	1	0	0
luad_oncosg_2020	A496	0	0	0	0
luad_oncosg_2020	A497	-1	1	1	0
luad_oncosg_2020	A499	0	1	0	0
luad_oncosg_2020	A500	0	0	0	0
luad_oncosg_2020	A501	0	0	0	0
luad_oncosg_2020	A502	-1	1	0	0
luad_oncosg_2020	A503	-1	1	0	0
luad_oncosg_2020	A504	-1	1	1	-1
luad_oncosg_2020	A505	-1	2	0	0
luad_oncosg_2020	A295	-1	0	0	0
luad_oncosg_2020	A152	-1	1	1	0
luad_oncosg_2020	A015	-1	0	0	-1
luad_oncosg_2020	A062	-1	2	0	-1
luad_oncosg_2020	A037	-1	0	1	-1
luad_oncosg_2020	A066	-1	1	1	1
luad_oncosg_2020	A310	-1	0	1	1
luad_oncosg_2020	A320	0	1	0	0
luad_oncosg_2020	A426	0	1	1	-1
luad_oncosg_2020	A381	-1	1	1	-1
luad_oncosg_2020	A428	0	1	1	0
luad_oncosg_2020	A430	-1	1	0	0
luad_oncosg_2020	A432	-1	0	2	-1
luad_oncosg_2020	A434	-1	1	0	1
luad_oncosg_2020	A435	-1	1	0	0
luad_oncosg_2020	A507	0	0	0	0
luad_oncosg_2020	A508	0	0	0	0
luad_oncosg_2020	A509	-1	1	1	0
luad_oncosg_2020	A063	-1	1	1	1
luad_oncosg_2020	A130	-1	0	0	0
luad_oncosg_2020	A168	-1	0	0	2
luad_oncosg_2020	A433	-1	1	-1	0
luad_oncosg_2020	A513	0	0	0	0
luad_oncosg_2020	A112	0	1	0	0
luad_oncosg_2020	A114	0	1	0	0
luad_oncosg_2020	A111	0	1	0	0
luad_oncosg_2020	A110	0	1	1	1
luad_oncosg_2020	A124	0	0	0	0
luad_oncosg_2020	A126	-1	0	0	0
