STUDY_ID	SAMPLE_ID	AURKA	TP53	KRAS	EGFR
luad_oncosg_2020	A234	-1.2827	0.9025	0.1105	-0.1075
luad_oncosg_2020	A233	1.0676	-1.5684	0.2802	0.8705
luad_oncosg_2020	A177	0.126	-1.1097	0.5991	-0.3208
luad_oncosg_2020	A167	NA	NA	NA	NA
luad_oncosg_2020	A159	-0.6067	-0.1652	-0.8758	-1.1119
luad_oncosg_2020	A158	2.4312	1.4401	0.1724	-1.4389
luad_oncosg_2020	A155	NA	NA	NA	NA
luad_oncosg_2020	A153	-1.0463	0.6492	-1.3553	0.3208
luad_oncosg_2020	A144	-0.8487	0.059	-0.5506	0.5507
luad_oncosg_2020	A143	0.6221	-0.0879	0.193	-1.2531
luad_oncosg_2020	A139	NA	NA	NA	NA
luad_oncosg_2020	A138	-1.7269	-0.4361	-0.0009	0.1844
luad_oncosg_2020	A131	1.2477	-0.0912	1.9955	2.2195
luad_oncosg_2020	A120	0.3849	-0.8557	-1.0405	-0.1353
luad_oncosg_2020	A006	-1.4857	-0.5785	-0.4979	-0.234
luad_oncosg_2020	A073	NA	NA	NA	NA
luad_oncosg_2020	A025	NA	NA	NA	NA
luad_oncosg_2020	A016	NA	NA	NA	NA
luad_oncosg_2020	A012	NA	NA	NA	NA
luad_oncosg_2020	A008	NA	NA	NA	NA
luad_oncosg_2020	A258	-0.059	-1.3628	0.0143	0.2679
luad_oncosg_2020	A259	-1.0979	1.0054	0.0118	0.2434
luad_oncosg_2020	A260	1.5306	0.0792	1.3242	-0.8886
luad_oncosg_2020	A261	1.1662	-3.4596	-0.4012	-1.6848
luad_oncosg_2020	A262	-1.1438	1.537	0.1387	-0.0415
luad_oncosg_2020	A263	-0.5508	0.6722	0.0251	0.1944
luad_oncosg_2020	A264	-0.5385	-0.4097	-0.3369	-1.1594
luad_oncosg_2020	A265	-1.1366	0.1569	1.2524	0.3637
luad_oncosg_2020	A266	0.8642	0.5976	1.4816	-0.5936
luad_oncosg_2020	A267	-1.0989	-0.5375	0.5708	-0.2487
luad_oncosg_2020	A268	-1.5587	-0.9219	-0.1969	-0.4234
luad_oncosg_2020	A269	-0.8523	-0.7122	1.8003	1.5452
luad_oncosg_2020	A270	-0.7475	0.3172	-0.3637	-0.1821
luad_oncosg_2020	A271	1.2576	-1.3103	0.5634	-0.472
luad_oncosg_2020	A272	-0.404	-0.6484	-0.849	0.3844
luad_oncosg_2020	A273	0.6693	0.4836	0.0448	1.2691
luad_oncosg_2020	A274	-0.1336	-1.9694	-0.7468	1.3417
luad_oncosg_2020	A275	1.1071	0.1524	-0.3594	0.498
luad_oncosg_2020	A276	-0.0699	0.7166	0.7599	1.0681
luad_oncosg_2020	A277	-1.009	1.4041	-0.5842	0.6795
luad_oncosg_2020	A278	-0.6213	0.5282	-0.0103	-0.4262
luad_oncosg_2020	A279	-0.0295	0.846	0.5058	0.3495
luad_oncosg_2020	A280	0.0092	0.3963	0.2886	0.3626
luad_oncosg_2020	A281	-0.5109	-0.5345	-0.8632	-0.837
luad_oncosg_2020	A282	-0.3807	0.4258	0.5167	0.604
luad_oncosg_2020	A283	0.0602	-0.1485	0.3301	-0.1653
luad_oncosg_2020	A284	0.5591	0.8447	0.6183	1.1746
luad_oncosg_2020	A285	-0.1153	0.7338	0.1069	-0.3307
luad_oncosg_2020	A344	NA	NA	NA	NA
luad_oncosg_2020	A349	NA	NA	NA	NA
luad_oncosg_2020	A364	NA	NA	NA	NA
luad_oncosg_2020	A368	NA	NA	NA	NA
luad_oncosg_2020	A017	NA	NA	NA	NA
luad_oncosg_2020	A028	0.363	-1.9984	-0.8743	-0.0573
luad_oncosg_2020	A021	-1.1694	-1.9248	0.4348	0.9219
luad_oncosg_2020	A033	1.3559	-0.6653	0.1762	-0.1414
luad_oncosg_2020	A027	-1.5145	-0.8535	-0.217	-0.5639
luad_oncosg_2020	A068	1.2318	-2.1839	-0.894	1.5431
luad_oncosg_2020	A101	1.5534	5.0391	-1.6046	1.4904
luad_oncosg_2020	A071	NA	NA	NA	NA
luad_oncosg_2020	A072	-0.3538	0.5078	-0.5682	0.0338
luad_oncosg_2020	A074	0.9194	-1.896	-1.3268	0.3027
luad_oncosg_2020	A100	-0.4318	0.0344	0.6531	0.7331
luad_oncosg_2020	A102	-0.2471	0.9678	-0.4525	-0.1767
luad_oncosg_2020	A103	-0.7923	0.6828	0.2034	0.702
luad_oncosg_2020	A104	0.2464	-0.3993	-0.4807	0.4742
luad_oncosg_2020	A109	NA	NA	NA	NA
luad_oncosg_2020	A117	-1.0251	-1.2455	0.3888	-0.2286
luad_oncosg_2020	A122	NA	NA	NA	NA
luad_oncosg_2020	A134	-0.0232	0.7321	-0.625	0.4907
luad_oncosg_2020	A136	NA	NA	NA	NA
luad_oncosg_2020	A147	NA	NA	NA	NA
luad_oncosg_2020	A146	NA	NA	NA	NA
luad_oncosg_2020	A148	0.7473	0.9741	1.0926	-0.6238
luad_oncosg_2020	A149	NA	NA	NA	NA
luad_oncosg_2020	A150	0.9192	0.3305	-0.9246	-0.212
luad_oncosg_2020	A156	1.5184	0.5388	0.2866	1.514
luad_oncosg_2020	A165	-0.8303	-0.5796	-0.6622	-1.2038
luad_oncosg_2020	A157	0.8369	0.7301	-0.8902	-0.1628
luad_oncosg_2020	A162	1.6154	-2.1088	0.5795	0.5055
luad_oncosg_2020	A163	-0.4054	0.3126	-0.372	0.5328
luad_oncosg_2020	A243	0.8937	-1.431	-1.2181	1.5686
luad_oncosg_2020	A182	0.6452	0.0367	-0.0971	0.6109
luad_oncosg_2020	A255	-0.7922	-0.4305	0.4891	0.3295
luad_oncosg_2020	A169	0.1467	2.1007	-1.5992	0.7731
luad_oncosg_2020	A252	-1.1608	-0.7497	0.0522	-0.3529
luad_oncosg_2020	A239	-0.2517	0.0697	0.0858	0.7413
luad_oncosg_2020	A250	1.0209	1.5748	1.0051	0.0503
luad_oncosg_2020	A240	0.3817	-0.0028	0.36	-1.8913
luad_oncosg_2020	A249	0.5644	0.1524	0.5814	0.0478
luad_oncosg_2020	A322	-0.9085	-0.1349	0.0849	-0.1438
luad_oncosg_2020	A306	0.9394	-1.1424	0.5784	0.0115
luad_oncosg_2020	A302	NA	NA	NA	NA
luad_oncosg_2020	A323	2.4444	-0.8929	-1.7302	0.3724
luad_oncosg_2020	A307	-0.1085	-0.9906	0.121	0.6582
luad_oncosg_2020	A380	-1.2226	-0.5193	-0.7791	0.0205
luad_oncosg_2020	A315	-0.824	-1.3671	0.1347	0.0587
luad_oncosg_2020	A377	-0.3758	0.3007	0.4807	0.5562
luad_oncosg_2020	A375	-0.5073	-0.3505	-0.8887	0.4809
luad_oncosg_2020	A425	-1.3932	0.0912	-0.3813	0.0545
luad_oncosg_2020	A316	-0.4582	0.8709	0.5901	0.2574
luad_oncosg_2020	A379	-0.561	0.1805	-0.0965	0.497
luad_oncosg_2020	A483	-0.0483	0.3249	-0.7682	-1.2121
luad_oncosg_2020	A484	NA	NA	NA	NA
luad_oncosg_2020	A485	NA	NA	NA	NA
luad_oncosg_2020	A486	0.104	0.4419	-2.5875	0.2725
luad_oncosg_2020	A488	0.8699	0.8602	-2.2605	-0.4315
luad_oncosg_2020	A489	NA	NA	NA	NA
luad_oncosg_2020	A490	-0.0046	0.5946	-2.0888	-1.2728
luad_oncosg_2020	A492	0.6965	-1.043	-0.1907	1.2558
luad_oncosg_2020	A493	0.3842	-0.0941	-2.1253	0.3695
luad_oncosg_2020	A494	NA	NA	NA	NA
luad_oncosg_2020	A495	NA	NA	NA	NA
luad_oncosg_2020	A496	-0.7721	0.4984	-1.6633	-1.7137
luad_oncosg_2020	A497	NA	NA	NA	NA
luad_oncosg_2020	A499	-0.5582	0.2672	-3.0494	-1.5261
luad_oncosg_2020	A500	1.404	1.3052	-1.1525	-2.2344
luad_oncosg_2020	A501	NA	NA	NA	NA
luad_oncosg_2020	A502	NA	NA	NA	NA
luad_oncosg_2020	A503	1.0192	1.388	-0.3296	0.4813
luad_oncosg_2020	A504	-0.4926	-0.3751	-0.1951	0.3483
luad_oncosg_2020	A505	NA	NA	NA	NA
luad_oncosg_2020	A295	NA	NA	NA	NA
