STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-78-7220-01	1.9385	-0.8119
luad_tcga_pan_can_atlas_2018	TCGA-78-7539-01	-1.0655	0.4072
luad_tcga_pan_can_atlas_2018	TCGA-78-7540-01	-0.8053	0.1856
luad_tcga_pan_can_atlas_2018	TCGA-78-8655-01	-0.9394	-0.0012
luad_tcga_pan_can_atlas_2018	TCGA-80-5608-01	0.5242	-0.9675
luad_tcga_pan_can_atlas_2018	TCGA-83-5908-01	1.5853	0.798
luad_tcga_pan_can_atlas_2018	TCGA-86-7713-01	0.957	0.8226
luad_tcga_pan_can_atlas_2018	TCGA-86-7953-01	0.1798	0.2456
luad_tcga_pan_can_atlas_2018	TCGA-86-8054-01	1.5312	0.9716
luad_tcga_pan_can_atlas_2018	TCGA-86-8056-01	-0.3908	0.3365
luad_tcga_pan_can_atlas_2018	TCGA-86-8076-01	-1.1924	-0.125
luad_tcga_pan_can_atlas_2018	TCGA-86-8359-01	0.5339	-0.9092
luad_tcga_pan_can_atlas_2018	TCGA-86-8674-01	-0.4212	-1.5923
luad_tcga_pan_can_atlas_2018	TCGA-86-A456-01	-0.7536	-0.1828
luad_tcga_pan_can_atlas_2018	TCGA-86-A4JF-01	0.6387	0.6498
luad_tcga_pan_can_atlas_2018	TCGA-91-6828-01	0.8796	0.0927
luad_tcga_pan_can_atlas_2018	TCGA-91-6835-01	0.3619	0.9318
luad_tcga_pan_can_atlas_2018	TCGA-91-6836-01	1.842	0.6175
luad_tcga_pan_can_atlas_2018	TCGA-91-6849-01	-1.5832	-0.6611
luad_tcga_pan_can_atlas_2018	TCGA-93-7347-01	-1.3045	0.383
luad_tcga_pan_can_atlas_2018	TCGA-93-8067-01	1.2925	-0.3594
luad_tcga_pan_can_atlas_2018	TCGA-93-A4JO-01	-0.4115	-0.556
luad_tcga_pan_can_atlas_2018	TCGA-95-7039-01	0.0789	0.3999
luad_tcga_pan_can_atlas_2018	TCGA-95-7562-01	0.8534	0.6754
luad_tcga_pan_can_atlas_2018	TCGA-95-7567-01	0.9121	-0.4254
luad_tcga_pan_can_atlas_2018	TCGA-95-A4VK-01	-0.2996	-0.4179
luad_tcga_pan_can_atlas_2018	TCGA-95-A4VN-01	0.5609	1.2436
luad_tcga_pan_can_atlas_2018	TCGA-95-A4VP-01	0.3161	-1.4647
luad_tcga_pan_can_atlas_2018	TCGA-97-7554-01	-0.3351	1.2984
luad_tcga_pan_can_atlas_2018	TCGA-97-7938-01	-1.0358	0.6858
luad_tcga_pan_can_atlas_2018	TCGA-97-7941-01	-1.5413	-0.3492
luad_tcga_pan_can_atlas_2018	TCGA-97-8176-01	0.5925	-0.8514
luad_tcga_pan_can_atlas_2018	TCGA-97-8179-01	0.0007	-0.0204
luad_tcga_pan_can_atlas_2018	TCGA-97-A4M0-01	-1.535	0.9561
luad_tcga_pan_can_atlas_2018	TCGA-97-A4M5-01	-0.7979	-0.4523
luad_tcga_pan_can_atlas_2018	TCGA-99-8025-01	-0.6245	-0.8055
luad_tcga_pan_can_atlas_2018	TCGA-99-8028-01	-0.4086	-0.9844
luad_tcga_pan_can_atlas_2018	TCGA-99-8032-01	0.6668	-0.6415
luad_tcga_pan_can_atlas_2018	TCGA-99-8033-01	1.1112	0.6167
luad_tcga_pan_can_atlas_2018	TCGA-J2-8194-01	-2.1253	-0.1171
luad_tcga_pan_can_atlas_2018	TCGA-J2-A4AG-01	-1.2318	-0.359
luad_tcga_pan_can_atlas_2018	TCGA-L9-A443-01	0.3893	-0.0948
luad_tcga_pan_can_atlas_2018	TCGA-MN-A4N5-01	0.6866	0.0572
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4SY-01	-0.0539	0.0805
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4T4-01	0.3231	0.284
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4T7-01	0.8817	-0.4254
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4T8-01	0.3692	-0.4937
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4TD-01	0.0984	-1.0884
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4TE-01	0.78	-0.5179
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4TF-01	0.4232	1.5045
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4TI-01	0.4665	-0.5782
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4TK-01	0.3471	1.0506
luad_tcga_pan_can_atlas_2018	TCGA-NJ-A4YG-01	-1.1417	-0.6341
luad_tcga_pan_can_atlas_2018	TCGA-NJ-A4YI-01	-1.2648	0.3752
luad_tcga_pan_can_atlas_2018	TCGA-NJ-A4YP-01	-0.3318	-1.3377
luad_tcga_pan_can_atlas_2018	TCGA-NJ-A55O-01	0.377	-0.5716
luad_tcga_pan_can_atlas_2018	TCGA-NJ-A55R-01	1.3536	-0.8512
luad_tcga_pan_can_atlas_2018	TCGA-17-Z010-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z020-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z033-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z036-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z042-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z022-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z050-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z037-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z017-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z060-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z014-01	NA	NA
